,soal,jawaban,no_urut,file_pdf,halaman
0,#1. Which of the possible divisors is the greatest thatdivides all numbers? ,#1. The correct answer is C.,1.0,easy1,1.0
1,#2. What is the probability of getting a '2' or a '6' in asingle throw of an unmodiﬁed 6 sided die? Answer using afraction (e.g.: 1/2).; ,#2. The correct answer is 1/3. There are 2 of 6possibilities.,2.0,easy1,1.0
2,#3. Which two numbers of the list below are bothmultiple of 2 and 3? ,#3. The correct answer is D. 18 and 12 are bothmultiples of 2 and 3.,3.0,easy1,1.0
3,#4. How many circles do you count?,#4. The correct answer is 7.,4.0,easy1,1.0
4,#5. Which two numbers have a sum of 54 and have aratio of 2 to 7? Answer using two numbers (e.g.: 1 and 2).; x + y = 54have a ratio of 2:7,#5. The correct answer is 12 and 42. The secondnumber can be calculated by multiplying the ﬁrst number by7 and dividing it by 2.; ,5.0,easy1,2.0
5,#6. I go south on an evening when the sun shines. T owhich side of me will my shadow fall? ,#6. The correct answer is A. If I go south then east is tomy left and in the evening the shadow falls east.,6.0,easy1,2.0
6,"#7. Given the numbers: 64, 55, 25. Which of thefollowing numbers is closest to the average? ",#7. The correct answer is D. The result of the operationis 48.,7.0,easy1,2.0
7,#8. Which is the next logical ﬁgure in the sequence?,"#8. The correct answer is A. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",8.0,easy1,2.0
8,#9. Which two numbers when added are 12 and whenmultiplied are 35? Answer using two numbers (e.g.: 1 and 2).; x + y = 12x * y = 35,#9. The correct answer is 5 and 7.,9.0,easy1,3.0
9,#10. Which square completes the ﬁgure below? ,"#10. The correct answer is C. In every row the thirdsquare is made by ﬂipping the ﬁrst square and superimposingit on the second square, followed by removing the matchinglines.",10.0,easy1,3.0
10,"#11. In the list of numbers below, what is the sum of allthe numbers with a value greater than 6? ",#11. The correct answer is C.,11.0,easy1,3.0
11,#12. Which of the possible answers have the most incommon with the four given ﬁgures? ,#12. The correct answer is B. It has the same numberof elements inside the ﬁgure as the given ﬁgures.,12.0,easy1,3.0
12,#13. What number multiplied by 6 equals 234?; x * 6 = 234,#13. The correct answer is 39. It is the result of theoperation 234 / 6.,13.0,easy1,4.0
13,#14. What ﬁgure should replace the question mark?,"#14. The correct answer is A. Superpose the ﬁrst andsecond ﬁgures and remove the lines that they have incommon, then rotate the resulting ﬁgure 45 degrees.",14.0,easy1,4.0
14,#15. What is the result of the following operation?; 55*24,#15. The correct answer is 1320.,15.0,easy1,4.0
15,#16. A ﬁle is protected by a password formed by a 5digits number represented in base 10 (ranging from 0 to 9).How many diﬀerent passwords can you have?,#16. The correct answer is 100000. Every digit has 10possibilities. The total number of possibilities is 10 at thepower of 5.,16.0,easy1,4.0
16,"#17. Which of the following numbers is a prime? Aprime number is a positive integer that has exactly twodiﬀerent positive divisors, 1 and itself. ",#17. The correct answer is D. The number 257 is aprime number.; ,17.0,easy1,5.0
17,#18. What ﬁgure completes the set below? ,#18. The correct answer is B. It is the ﬁgure thatcompletes all possible combinations with four blocks withouttaking into account rotations.,18.0,easy1,5.0
18,#19. What is the result of the given operation? Answerusing either a fraction or a number.; 7; 62- 2,#19. The correct answer is 1 / 6.,19.0,easy1,5.0
19,#20. The numbers in the grid below follow a pattern.Which number should replace the question mark?; 6918; 6712; 3726; 39703?,#20. The correct answer is 22. The fourth column iscalculated by multiplying the ﬁrst two columns and addingthe third.,20.0,easy1,5.0
