,soal,solusi,no_urut,folder,jawaban,gambar
0,#1. 6 hours ago it was as long after 3 AM as it wasbefore 3 PM on the same day . What is the time now? Answerusing the hour (e.g.: 3 AM); Sample clock; Created by gbrainy 2.4.4,"#1. The correct answer is 3 PM. Determine the hour halfway between the given times, and then add 6 hours toconvert it to the present time.",1,medium1,3 PM,0_medium1.jpg
1,#2. The numbers in the grid below follow a pattern.Which number should replace the question mark?; 16116; 47912; 7643; 1148103?; ,#2. The correct answer is 75. The fourth column iscalculated by multiplying the ﬁrst two columns and addingthe third.,2,medium1,75,1_medium1.jpg
2,"#3. A train leaves the station traveling at 40 mph. 6hours later a second train leaves the station traveling in thesame direction at 60 mph. How many hours does it take thesecond train, since it starts moving, to overtake the ﬁrst train? ",#3. The correct answer is 12. You can calculate theanswer by multiplying the speed of the ﬁrst train by the timeand dividing it by the diﬀerence of speeds.,3,medium1,12,2_medium1.jpg
3,#4. What is the maximum number of circles (as shown)that ﬁt in the square below?; 8 units8 units1 unit1 unit,#4. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.,4,medium1,68,3_medium1.jpg
4,#5. John's mother's brother's brother-in-law is also? Donot assume that John has any relative that has not beenmentioned. ,"#5. The correct answer is B. The brother's brother-in-law is John's mother's husband, that is, John's father.; ",5,medium1,B,4_medium1.jpg
5,#6. How many small cubes does it take to build thelarge cube below? Answer using a number.; ,#6. The correct answer is 64.,6,medium1,64,5_medium1.jpg
6,#7. How many squares of any size do you count in theﬁgure below? ,"#7. The correct answer is 14. There are 9 singlesquares, 4 squares made by 4 single squares and 1 squaremade by 9 single squares.",7,medium1,14,6_medium1.jpg
7,#8. Which of the possible answers have the most incommon with the four given ﬁgures? ,#8. The correct answer is B. It is the ﬁgure with themost elements in common compared to the given ﬁgures.,8,medium1,B,7_medium1.jpg
8,#9. All attendees to a party are introduced to oneanother. 15 handshakes are made in total. How many peopleare attending the party? ,"#9. The correct answer is 6. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).",9,medium1,6,8_medium1.jpg
9,#10. What is the probability of getting a '2' or a '6' in asingle throw of an unmodiﬁed 6 sided die? Answer using afraction (e.g.: 1/2).; ,#10. The correct answer is 1/3. There are 2 of 6possibilities.,10,medium1,1/3,9_medium1.jpg
10,#11. Which of the following ﬁgures does not belong tothe group? ,#11. The correct answer is F . It is the only ﬁgure withall lines of equal length.,11,medium1,F,10_medium1.jpg
11,"#12. If p < x < q and r < y < s and you know that x <y is true, which of the following options is correct? ","#12. The correct answer is B. If x < y, then p < x < y <s so s > p is true.",12,medium1,B,11_medium1.jpg
12,"#13. What number should replace the question mark?; 4, 5, 21, 6, ?, 21, 12, 1, 17",#13. The correct answer is 3. Every group of 3numbers sums exactly 30.,13,medium1,3,12_medium1.jpg
13,"#14. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?; ",#14. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,14,medium1,7,13_medium1.jpg
14,"#15. You have two trucks that have a total weight of300 units. If the lighter truck weights 15 units less that half ofthe weight of the heavier truck, what is the weight of thelighter truck? ",#15. The correct answer is B. The heavier truck weights210 and the lighter 90.,15,medium1,B,14_medium1.jpg
15,"#16. On the dartboard below, where would you need tothrow the darts to add 120 points in 5 throws? Answer using alist of numbers (e.g.: 4, 5, 6, 3, 2); 6 3039 11","#16. The correct answer is 6, 6, 30, 39, 39.",16,medium1,"6, 6, 30, 39, 39",15_medium1.jpg
16,#17. What is the minimum number of square sheets ofpaper of any size required to create the ﬁgure? Lines indicatefrontiers between diﬀerent sheets. ,"#17. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.; ",17,medium1,4,16_medium1.jpg
17,#18. How many four sided ﬁgures do you count in theﬁgure below?; ,"#18. The correct answer is 17. The four sided ﬁguresare made by connecting the following points: abed, dehg,bcfe, eﬁh, acfd, dﬁg, abhg, bcih, acig, aghe, aefc, deig, bcie,aced, cehi, abeg, egif.",18,medium1,17,17_medium1.jpg
18,#19. What ﬁgure completes the set below? ,#19. The correct answer is A. It is the ﬁgure thatcompletes all possible combinations with four blocks withouttaking into account rotations.,19,medium1,A,18_medium1.jpg
19,#20. In a horse race there are people and horses. Youcount 162 eyes and 240 legs. How many horses are present?,#20. The correct answer is 39. Every person has twolegs and every horse four (2 * 42 + 39 * 4). Every person andevery horse have also two eyes (2 * 42 + 2 * 39).,20,medium1,39,19_medium1.jpg
20,#21. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?10,#21. The correct answer is 20. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,21,medium1,20,20_medium1.jpg
21,#22. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?16; ,#22. The correct answer is 64. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,22,medium1,64,21_medium1.jpg
22,#23. You have 300 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?;  ,#23. The correct answer is 363. Compound interest ispaid on the principal plus any past interest accumulated.,23,medium1,363,22_medium1.jpg
23,"#24. 1991 is a palindromic year as 2002 is, a gap of 11years. What are the next two consecutive palindromic yearsafter 2002 with the same gap? Answer using two numbers(e.g.: 1991 and 2002).","#24. The correct answer is 2992 and 3003. From year1000 to year 10000, palindrome years occur at 110 yearintervals except for the end of each millennium that occur at a11 years interval.",24,medium1,2992 and 3003,23_medium1.jpg
24,#25. A girl once said: 2 days ago I was 18 years old.Next year I will be 21 years old. Can this be true? Answer A orB.; A) NoB) YesChoose one of the following:,#25. The correct answer is B. She was born 31st ofDecember and she said this on 1st of January .,25,medium1,B,24_medium1.jpg
