,soal,solusi,no_urut,folder,hasil,jawaban,gambar
0,#1. Which is the next logical ﬁgure in the sequence?,"#1. The correct answer is A. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",1,easy1,1,A,0_easy1.jpg
1,#2. T o what number should the large handle of the'Figure D' clock point? Answer using numbers.; ,"#2. The correct answer is 3. Starting from the ﬁrstclock, add 15 to the number obtained by appending thevalues to which the hands point. For example, the value of thehands for 'Figure D' is 83 (68 + 15).",2,easy1,0,3,1_easy1.jpg
2,"#3. In a tennis tournament, in every match a player iseliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 44 players? ","#3. The correct answer is 43. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",3,easy1,1,43,2_easy1.jpg
3,#4. One of the numbers in the grid must be circled.Which one?; 30 8 17 70; 61 90 10 60; 25 74 85 57; 54 52 21 31,#4. The correct answer is 21. Every circled number canbe divided by 3.,4,easy1,0,21,3_easy1.jpg
4,#5. A ﬁle is protected by a password formed by a 5digits number represented in base 10 (ranging from 0 to 9).How many diﬀerent passwords can you have? ,#5. The correct answer is 100000. Every digit has 10possibilities. The total number of possibilities is 10 at thepower of 5.; ,5,easy1,1,100000,4_easy1.jpg
5,#6. How many triangles of any size do you count in theﬁgure below?; ,"#6. The correct answer is 8. The triangles are made byconnecting the following points: dcf, ade, acg, afg, ecg, acd,acf, ace.",6,easy1,0,8,5_easy1.jpg
6,"#7. If p < x < q and r < y < s and you know that x > yis true, which of the following options is correct? ","#7. The correct answer is D. If x > y, then r < y < x <q, so r < q is true.",7,easy1,0,D,6_easy1.jpg
7,#8. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?8,#8. The correct answer is 16. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,8,easy1,0,16,7_easy1.jpg
8,#9. What is the result of the equation below?; 5 * 5 + 5 * 2 - 2 = ?,"#9. The correct answer is 33. The order of arithmeticaloperations is always as follows: exponents and roots,multiplication and division, addition and subtraction.",9,easy1,0,33,8_easy1.jpg
9,#10. A ﬁle is protected by a password formed by a 3digits represented in base 8 (ranging from 0 to 7). How manydiﬀerent passwords can you have?; ,#10. The correct answer is 512. Every digit has 8possibilities. The total number of possibilities is 8 at the powerof 3.,10,easy1,0,512,9_easy1.jpg
10,#11. Which of the possible answers have the most incommon with the four given ﬁgures? ,#11. The correct answer is C. It has the same numberof elements inside the ﬁgure as the given ﬁgures.,11,easy1,0,C,10_easy1.jpg
11,#12. What is the maximum number of circles (asshown) that ﬁt in the square below?; 8 units8 units1 unit1 unit,#12. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.,12,easy1,0,68,11_easy1.jpg
12,#13. How many small cubes does it take to build thelarge cube below? Answer using a number. ,#13. The correct answer is 64.,13,easy1,0,64,12_easy1.jpg
13,"#14. You have two trucks that have a total weight of 60units. If the lighter truck weights 15 units less that half of theweight of the heavier truck, what is the weight of the lightertruck? ",#14. The correct answer is A. The heavier truck weights50 and the lighter 10.,14,easy1,0,A,13_easy1.jpg
14,"#15. On the dartboard below, where would you need tothrow the darts to add 120 points in 5 throws? Answer using alist of numbers (e.g.: 4, 5, 6, 3, 2); 31 1234 8","#15. The correct answer is 31, 31, 12, 12, 34.",15,easy1,0,"31, 31, 12, 12, 34",14_easy1.jpg
15,#16. John is 46 years old. His son is 8 years youngerthan half of John's age. How old is John's son?,"#16. The correct answer is 15. John's son age isnowadays half of John's age minus 8, that is, (46 / 2) - 8.",16,easy1,0,15,15_easy1.jpg
16,#17. How many line segments in total are in the ﬁguresbelow? A line segment is a line between two points with nocrossing lines. ,#17. The correct answer is 36. There are 15 lines in theﬁgure to the left and 21 in the ﬁgure to the right.; ,17,easy1,0,36,16_easy1.jpg
17,#18. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C FIL; A DGJB; EH?; ,#18. The correct answer is K. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 3 to it in order to get the position of the nextletter.,18,easy1,0,K,17_easy1.jpg
18,"#19. In a small town, 70% of the inhabitants have a carand 20% have a car and are males. What percentage of thepopulation are females and have a car? ",#19. The correct answer is A. 50% (70 - 20) of theinhabitants are women and have a car.,19,easy1,0,A,18_easy1.jpg
19,#20. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?,"#20. The correct answer is CDF. 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",20,easy1,0,CDF,19_easy1.jpg
20,"#21. John's age is nowadays 2 times his son's age. 12years ago, John was 3 times as old as his son. How old is John'sson nowadays? ","#21. The correct answer is 24. John's age (variable x) isnowadays 2 times his son's age (variable y), that is x = 2y,and 12 years ago, John was 3 times as old as his son: x - 12 =(y - 12) * 3.",21,easy1,0,24,20_easy1.jpg
21,#22. How many circles do you count?; ,#22. The correct answer is 8.,22,easy1,0,8,21_easy1.jpg
22,#23. You have 500 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?;  ,#23. The correct answer is 605. Compound interest ispaid on the principal plus any past interest accumulated.,23,easy1,0,605,22_easy1.jpg
23,#24. 6 hours ago it was as long after 3 AM as it wasbefore 3 PM on the same day . What is the time now? Answerusing the hour (e.g.: 3 AM); Sample clock,"#24. The correct answer is 3 PM. Determine the hourhalf way between the given times, and then add 6 hours toconvert it to the present time.",24,easy1,0,3 PM,23_easy1.jpg
24,"#25. When you fold the ﬁgure below as a cube, whichface on the ﬁgure is opposite the face with a 6 drawn on it?Answer the number written on the face.; 1 2; 3 4 5; 6",#25. The correct answer is 2.,25,easy1,0,2,24_easy1.jpg
25,#26. How many degrees rotates the minute hand of aclock in 2 hours 10 minutes?; ,#26. The correct answer is 780. Every hour rotates 360degrees.,26,easy1,0,780,25_easy1.jpg
26,#27. The numbers in the grid below follow a pattern.Which number should replace the question mark?; 29710; 11783; 5887; 887?,#27. The correct answer is 6. The fourth column iscalculated by adding the ﬁrst two columns and subtractingthe third.,27,easy1,0,6,26_easy1.jpg
27,#28. I go south on an evening when the sun shines. T owhich side of me will my shadow fall? ,#28. The correct answer is D. If I go south then east isto my left and in the evening the shadow falls east.,28,easy1,0,D,27_easy1.jpg
28,#29. A girl once said: 2 days ago I was 18 years old.Next year I will be 21 years old. Can this be true? Answer A orB.; A) NoB) YesChoose one of the following:,#29. The correct answer is B. She was born 31st ofDecember and she said this on 1st of January .; ,29,easy1,0,B,28_easy1.jpg
29,"#30. 1991 is a palindromic year as 2002 is, a gap of 11years. What are the next two consecutive palindromic yearsafter 2002 with the same gap? Answer using two numbers(e.g.: 1991 and 2002).","#30. The correct answer is 2992 and 3003. From year1000 to year 10000, palindrome years occur at 110 yearintervals except for the end of each millennium that occur at a11 years interval.",30,easy1,0,2992 and 3003,29_easy1.jpg
30,"#31. Given two integer numbers x and y, if x is evenand y odd, which of the following expressions gives always anodd result? ","#31. The correct answer is C. Multiplication of two evennumbers always produces an even number, so x multiplied by2 is even. Adding an odd number (y) to that even numberalways produces an odd number.",31,easy1,0,C,30_easy1.jpg
