,soal,solusi,no_urut,folder,hasil,jawaban,gambar
0,#1. Which element does not belong to the group? It isnot related to any arithmetical of the numbers. ,#1. The correct answer is C. In all the other numbersthe last three digits are the square of the ﬁrst two digits.,1,hard1,,C,0_hard1.jpg
1,"#2. If some pictures are ﬁrst attempts and no ﬁrstattempts are really good, which of the following conclusions iscorrect? ",#2. The correct answer is B.,2,hard1,,B,1_hard1.jpg
2,#3. T wo men starting at the same point walk inopposite directions for 3 feet. Both turn left and walk another4 feet. What is the distance between them? ,"#3. The correct answer is D. Using the Pythagoreantheorem, the solution is 2 by the square root of (3^2 + 4^2).",3,hard1,,D,2_hard1.jpg
3,#4. John is 46 years old. His son is 5 years youngerthan half of John's age. How old is John's son?,"#4. The correct answer is 18. John's son age isnowadays half of John's age minus 5, that is, (46 / 2) - 5.",4,hard1,,18,3_hard1.jpg
4,#5. A girl once said: 2 days ago I was 18 years old. Nextyear I will be 21 years old. Can this be true? Answer A or B.; A) YesB) NoChoose one of the following:,#5. The correct answer is A. She was born 31st ofDecember and she said this on 1st of January .; ,5,hard1,,A,4_hard1.jpg
5,#6. What is the next logical sequence of objects in thelast column? ,#6. The correct answer is A. It is the only combinationthat you can build with the given elements without repeatingthem.,6,hard1,,A,5_hard1.jpg
6,"#7. When you fold the ﬁgure below as a cube, whichface on the ﬁgure is opposite the face with a 4 drawn on it?Answer the number written on the face.; 1 2; 3 4 5; 6",#7. The correct answer is 1.,7,hard1,,1,6_hard1.jpg
7,#8. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C HMR; A FKPB; GL?,#8. The correct answer is Q. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 5 to it in order to get the position of the nextletter.,8,hard1,,Q,7_hard1.jpg
8,"#9. If p < x < q and r < y < s and you know that x > yis true, which of the following options is correct? ","#9. The correct answer is C. If x > y, then r < y < x <q, so r < q is true.",9,hard1,,C,8_hard1.jpg
9,"#10. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?; ",#10. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,10,hard1,,7,9_hard1.jpg
10,#11. How many boxes measuring 1 x 1 x 0.5 can be ﬁtinto a container measuring 6 x 5 x 8?; ContainerBox,#11. The correct answer is 480. You can ﬁt 6 * 5 * 8 * 2boxes.,11,hard1,,480,10_hard1.jpg
11,#12. John needs 48 hours to clean a warehouse and hisfriend needs half as many . How many hours would it takethem to clean up the warehouse if they worked together?,#12. The correct answer is D. John cleans at the speedof 1 / 48 per hour and his friend at 1 / 24. T ogether they willneed 16 hours.,12,hard1,,D,11_hard1.jpg
12,"#13. A group of people, spaced out evenly, are sittingat a round table. How many people are there if the 4th personsits directly across from the 12th?; Two people in the table sitting across from each other",#13. The correct answer is 16. Subtracting the twopositions you ﬁnd out how many people are seated half wayaround the table. Doubling this number leaves you with thetotal amount of people.,13,hard1,,16,12_hard1.jpg
13,#14. All attendees to a party are introduced to oneanother. 10 handshakes are made in total. How many peopleare attending the party?; ,"#14. The correct answer is 5. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).",14,hard1,,5,13_hard1.jpg
14,"#15. In a tennis tournament, in every match a player iseliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 58 players? ","#15. The correct answer is 57. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",15,hard1,,57,14_hard1.jpg
15,#16. What is the minimum number of square sheets ofpaper of any size required to create the ﬁgure? Lines indicatefrontiers between diﬀerent sheets.,"#16. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.",16,hard1,,4,15_hard1.jpg
16,"#17. If p < x < q and r < y < s and you know that x <y is true, which of the following options is correct? ","#17. The correct answer is C. If x < y, then p < x < y <s so s > p is true.; ",17,hard1,,C,16_hard1.jpg
17,#18. Which number should replace the question markbelow?; 15 14 35 6 70 3; 42 5 7 30 21 ?; ,#18. The correct answer is 10. The result of multiplyingthe two numbers inside every triangle is 210.,18,hard1,,10,17_hard1.jpg
18,"#19. If the circles represented by the arcs below werecompleted, which circle would have the largest diameter?","#19. The correct answer is D. Less curved is the arc,the larger the circle is.",19,hard1,,D,18_hard1.jpg
19,#20. One of the numbers in the grid must be circled.Which one?; 93 78 47 61; 100 75 81 87; 28 14 18 19; 35 83 95 72,#20. The correct answer is 81. Every circled numbercan be divided by 3.,20,hard1,,81,19_hard1.jpg
20,"#21. 1991 is a palindromic year as 2002 is, a gap of 11years. What are the next two consecutive palindromic yearsafter 2002 with the same gap? Answer using two numbers(e.g.: 1991 and 2002). ","#21. The correct answer is 2992 and 3003. From year1000 to year 10000, palindrome years occur at 110 yearintervals except for the end of each millennium that occur at a11 years interval.",21,hard1,,2992 and 3003,20_hard1.jpg
21,#22. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?; ,"#22. The correct answer is ACE. 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",22,hard1,,ACE,21_hard1.jpg
22,#23. The slices below have some kind of relation. Whichis the missing slice in the circle below? ,"#23. The correct answer is B. All numbers of each slice,when added to the ones of the opposite slice, add always 9.",23,hard1,,B,22_hard1.jpg
23,#24. John's mother's brother's brother-in-law is also? Donot assume that John has any relative that has not beenmentioned. ,"#24. The correct answer is B. The brother's brother-in-law is John's mother's husband, that is, John's father.",24,hard1,,B,23_hard1.jpg
24,#25. 4 hours ago it was as long after 4 AM as it wasbefore 4 PM on the same day . What is the time now? Answerusing the hour (e.g.: 4 PM); Sample clock,"#25. The correct answer is 2 PM. Determine the hourhalf way between the given times, and then add 4 hours toconvert it to the present time.",25,hard1,,2 PM,24_hard1.jpg
25,#26. John needs 12 hours to clean a warehouse and hisfriend needs twice as many . How many hours would it takethem to clean up the warehouse if they worked together?,#26. The correct answer is A. John cleans at the speedof 1 / 12 per hour and his friend at 1 / 24. T ogether they willneed 8 hours.,26,hard1,,A,25_hard1.jpg
26,#27. What is the probability of getting a '2' or a '6' in asingle throw of an unmodiﬁed 6 sided die? Answer using afraction (e.g.: 1/2). ,#27. The correct answer is 1/3. There are 2 of 6possibilities.,27,hard1,,1/3,26_hard1.jpg
